account_id,plan,mrr,payment_method,churned
7850-VWJUU,Month-to-month,75.0,Bank transfer (automatic),No
3774-VBNXY,Two year,20.2,Mailed check,No
6217-KDYWC,Two year,19.6,Mailed check,No
3146-MSEGF,Two year,88.05,Credit card (automatic),No
1095-WGNGG,Two year,101.05,Bank transfer (automatic),No
2636-SJDOU,One year,84.3,Credit card (automatic),No
1131-QQZEB,Two year,23.95,Bank transfer (automatic),No
5716-EZXZN,Two year,99.05,Credit card (automatic),No
6837-BJYDQ,One year,19.6,Mailed check,No
6440-DKQGE,One year,64.5,Credit card (automatic),No
3466-BYAVD,Month-to-month,69.5,Mailed check,No
3780-YVMFA,Month-to-month,68.55,Electronic check,No
1679-JRFBR,One year,108.15,Credit card (automatic),No
9073-ZZIAY,Two year,86.1,Electronic check,No
3077-RSNTJ,Month-to-month,19.7,Mailed check,No
6551-GNYDG,Month-to-month,80.9,Bank transfer (automatic),No
9167-APMXZ,Month-to-month,84.15,Bank transfer (automatic),No
2749-CTKAJ,One year,20.15,Mailed check,No
6371-NZYEG,Two year,64.25,Mailed check,No
7554-NEWDD,Two year,25.7,Bank transfer (automatic),No
8992-VONJD,Month-to-month,56.0,Electronic check,No
4482-EWFMI,Month-to-month,69.7,Electronic check,No
4648-YPBTM,Two year,73.9,Bank transfer (automatic),No
2907-ILJBN,One year,20.6,Mailed check,No
6345-FZOQH,Two year,19.9,Mailed check,No
5997-OPVFA,Two year,89.05,Bank transfer (automatic),No
1159-WFSGR,Month-to-month,20.4,Electronic check,No
7654-YWJUF,One year,84.25,Bank transfer (automatic),No
6727-IOTLZ,Two year,81.95,Mailed check,No
5918-VUKWP,One year,20.55,Bank transfer (automatic),No
1744-JHKYS,Month-to-month,24.7,Electronic check,No
5947-SGKCL,Month-to-month,105.35,Bank transfer (automatic),No
3712-PKXZA,One year,20.55,Credit card (automatic),No
6582-OIVSP,Month-to-month,45.3,Mailed check,No
5524-KHNJP,One year,74.75,Credit card (automatic),No
4827-USJHP,Month-to-month,51.8,Mailed check,No
8167-GJLRN,Month-to-month,30.4,Electronic check,No
0956-SYCWG,One year,19.65,Electronic check,No
8017-UVSZU,Month-to-month,56.6,Credit card (automatic),No
7100-FQPRV,One year,71.9,Credit card (automatic),No
2984-RGEYA,Two year,19.75,Bank transfer (automatic),No
9680-NIAUV,Two year,109.7,Credit card (automatic),No
2146-EGVDT,Two year,19.3,Credit card (automatic),No
2604-IJPDU,Month-to-month,96.55,Electronic check,No
9178-JHUVJ,Two year,24.1,Bank transfer (automatic),No
6168-YBYNP,Month-to-month,111.35,Electronic check,No
7255-SSFBC,Two year,112.25,Bank transfer (automatic),No
3645-DEYGF,Month-to-month,20.75,Mailed check,No
9323-HGFWY,One year,101.9,Credit card (automatic),No
8544-GOQSH,Month-to-month,80.05,Credit card (automatic),No
3363-DTIVD,Two year,105.55,Electronic check,No
7018-WBJNK,Month-to-month,78.3,Credit card (automatic),No
9142-KZXOP,Month-to-month,68.85,Credit card (automatic),No
7674-YTAFD,One year,79.95,Bank transfer (automatic),No
6348-SNFUS,Two year,55.45,Credit card (automatic),No
1347-KTTTA,One year,102.45,Credit card (automatic),No
4195-NZGTA,Month-to-month,25.25,Electronic check,No
7157-SMCFK,Two year,19.75,Mailed check,No
4709-LKHYG,One year,20.0,Electronic check,No
2504-DSHIH,Month-to-month,86.8,Electronic check,No
0699-NDKJM,Month-to-month,58.75,Bank transfer (automatic),No
9286-BHDQG,Two year,45.25,Credit card (automatic),No
0230-WEQUW,Two year,56.6,Bank transfer (automatic),No
2040-LDIWQ,Two year,84.2,Bank transfer (automatic),No
6496-JDSSB,Month-to-month,80.0,Bank transfer (automatic),No
4443-EMBNA,Two year,24.75,Bank transfer (automatic),No
6469-MRVET,One year,20.2,Electronic check,No
5961-VUSRV,One year,19.35,Bank transfer (automatic),No
6778-JFCMK,One year,50.6,Mailed check,No
6341-JVQGF,One year,81.15,Mailed check,No
4811-JBUVU,Month-to-month,89.9,Credit card (automatic),No
0945-TSONX,Two year,85.3,Credit card (automatic),No
2651-ZCBXV,Two year,108.0,Credit card (automatic),No
3316-UWXUY,Month-to-month,93.5,Credit card (automatic),No
7083-MIOPC,Two year,20.25,Credit card (automatic),No
1984-GPTEH,Month-to-month,25.15,Electronic check,No
0621-JFHOL,Two year,29.6,Mailed check,No
9903-LYSAB,Month-to-month,73.15,Electronic check,No
9227-UAQFT,Two year,19.75,Mailed check,No
7301-ABVAD,Two year,86.6,Bank transfer (automatic),No
6614-FHDBO,Two year,109.2,Bank transfer (automatic),No
7576-ASEJU,One year,74.7,Credit card (automatic),No
9058-HRZSV,Month-to-month,94.4,Electronic check,No
4522-AKYLR,Month-to-month,54.8,Electronic check,No
0221-WMXNQ,Month-to-month,75.35,Electronic check,No
0303-UNCIP,One year,65.0,Mailed check,No
0959-WHOKV,One year,99.0,Electronic check,No
4075-JFPGR,One year,93.5,Electronic check,No
3282-ZISZV,One year,83.7,Credit card (automatic),No
3675-YDUPJ,Month-to-month,19.85,Mailed check,No
4111-BNXIF,Two year,59.55,Electronic check,No
7017-VFHAY,Two year,115.1,Credit card (automatic),No
6655-LHBYW,One year,114.35,Credit card (automatic),No
5046-NUHWD,Month-to-month,45.0,Electronic check,No
7529-ZDFXI,Month-to-month,89.85,Electronic check,No
7605-BDWDC,Two year,49.85,Bank transfer (automatic),No
1950-KSVVJ,One year,113.3,Mailed check,No
0123-CRBRT,Two year,88.1,Mailed check,No
6292-TOSSS,Two year,24.9,Bank transfer (automatic),No
3197-ARFOY,Month-to-month,105.0,Mailed check,No
7014-ZZXAW,Two year,24.25,Credit card (automatic),No
7633-MVPUY,Two year,59.75,Electronic check,No
4716-HHKQH,Month-to-month,107.05,Electronic check,No
3179-GBRWV,Month-to-month,64.95,Bank transfer (automatic),No
8645-KWHJO,Month-to-month,55.0,Electronic check,No
4130-MZLCC,Month-to-month,50.55,Bank transfer (automatic),No
0314-TKOSI,Month-to-month,55.15,Mailed check,No
8229-MYEJZ,Month-to-month,51.2,Electronic check,No
2080-SRCDE,Month-to-month,25.4,Mailed check,No
9577-WJVCQ,Month-to-month,54.45,Mailed check,No
6202-DYYFX,One year,76.0,Credit card (automatic),No
3808-HFKDE,Month-to-month,44.35,Electronic check,No
3727-OWVYD,One year,61.2,Mailed check,No
2294-SALNE,One year,86.8,Mailed check,No
4847-TAJYI,Month-to-month,89.35,Electronic check,No
1563-IWQEX,Month-to-month,19.7,Mailed check,No
8203-XJZRC,Month-to-month,20.25,Mailed check,No
6556-DBKZF,Two year,76.05,Electronic check,No
6851-WEFYX,Month-to-month,100.8,Electronic check,No
2985-JUUBZ,Month-to-month,74.55,Electronic check,No
0895-LMRSF,One year,64.9,Bank transfer (automatic),No
8266-VBFQL,Month-to-month,90.4,Electronic check,No
8181-YHCMF,Two year,60.3,Credit card (automatic),No
2240-HSJQD,Month-to-month,81.85,Mailed check,No
1248-DYXUB,Two year,24.8,Mailed check,No
4115-BNPJY,Two year,75.55,Mailed check,No
3167-SNQPL,Month-to-month,101.15,Electronic check,No
4091-TVOCN,One year,78.75,Credit card (automatic),No
1098-TDVUQ,Month-to-month,19.25,Bank transfer (automatic),No
7277-OZCGZ,Month-to-month,89.05,Electronic check,No
1557-EMYVT,Two year,115.05,Credit card (automatic),No
2799-ARNLO,Month-to-month,69.35,Electronic check,No
5027-YOCXN,One year,110.05,Credit card (automatic),No
3973-SKMLN,Two year,19.9,Credit card (automatic),No
6745-JEFZB,Month-to-month,91.5,Credit card (automatic),No
9880-TDQAC,Two year,60.0,Electronic check,No
8705-WZCYL,Month-to-month,44.8,Electronic check,No
7102-JJVTX,One year,48.6,Mailed check,No
8626-PTQGE,Two year,60.05,Bank transfer (automatic),No
4983-CLMLV,Month-to-month,102.7,Credit card (automatic),No
5701-YVSVF,Month-to-month,82.9,Electronic check,No
5697-GOMBF,Month-to-month,35.9,Electronic check,No
2739-CACDQ,Month-to-month,82.65,Credit card (automatic),No
9385-EHGDO,Two year,19.85,Mailed check,No
9498-FIMXL,One year,19.2,Mailed check,No
2379-GYFLQ,One year,94.9,Credit card (automatic),No
2088-IEBAU,Two year,88.15,Electronic check,No
7982-VCELR,Month-to-month,94.8,Credit card (automatic),No
6035-BXTTY,Month-to-month,54.65,Bank transfer (automatic),No
6885-PKOAM,Two year,85.75,Credit card (automatic),No
7520-HQWJU,Month-to-month,67.45,Bank transfer (automatic),No
9639-BUJXT,One year,20.5,Mailed check,No
5924-SNGKP,One year,20.25,Credit card (automatic),No
0021-IKXGC,Month-to-month,72.1,Electronic check,No
8966-SNIZF,Two year,19.45,Bank transfer (automatic),No
6243-OZGFH,Month-to-month,44.95,Electronic check,No
4654-DLAMQ,One year,97.0,Bank transfer (automatic),No
0513-RBGPE,Two year,62.8,Credit card (automatic),No
5160-UXJED,One year,44.6,Mailed check,No
4115-NZRKS,Month-to-month,89.15,Electronic check,No
3351-NGXYI,Month-to-month,54.1,Electronic check,No
8984-EYLLL,Two year,105.25,Electronic check,No
9833-TGFHX,One year,97.1,Electronic check,No
9294-TDIPC,Month-to-month,20.2,Mailed check,No
5229-DTFYB,Two year,98.8,Bank transfer (automatic),No
0104-PPXDV,One year,50.3,Credit card (automatic),No
5176-LMJXE,Two year,20.55,Mailed check,No
3583-KRKMD,Month-to-month,75.9,Bank transfer (automatic),No
9069-LGEUL,Month-to-month,59.95,Bank transfer (automatic),No
7302-ZHMHP,Month-to-month,19.15,Mailed check,No
9571-EDEBV,One year,98.65,Credit card (automatic),No
3520-FJGCV,Two year,112.6,Credit card (automatic),No
6563-VRERX,One year,20.6,Mailed check,No
6122-EFVKN,Two year,35.75,Mailed check,No
2805-EDJPQ,One year,99.75,Credit card (automatic),No
6862-CQUMB,Month-to-month,96.1,Credit card (automatic),No
7156-MXBJE,One year,85.1,Credit card (automatic),No
6158-HDPXZ,Month-to-month,25.35,Mailed check,No
2863-IMQDR,Two year,89.65,Electronic check,No
5686-CMAWK,One year,86.75,Electronic check,No
5651-CRHKQ,One year,86.2,Bank transfer (automatic),No
8204-YJCLA,Two year,64.8,Bank transfer (automatic),No
6583-SZVGP,Two year,108.1,Bank transfer (automatic),No
1708-PBBOA,One year,54.75,Electronic check,No
8782-LKFPK,Month-to-month,90.4,Mailed check,No
5522-JBWMO,Month-to-month,44.0,Electronic check,No
3597-MVHJT,Month-to-month,95.6,Bank transfer (automatic),No
9774-NRNAU,Month-to-month,84.8,Bank transfer (automatic),No
0224-RLWWD,Month-to-month,44.3,Electronic check,No
9967-ATRFS,Month-to-month,19.9,Mailed check,No
3951-NJCVI,Month-to-month,95.05,Electronic check,No
2977-CEBSX,Two year,90.05,Credit card (automatic),No
0177-PXBAT,Month-to-month,109.9,Bank transfer (automatic),No
2519-ERQOJ,Month-to-month,54.6,Electronic check,No
5876-QMYLD,One year,20.05,Mailed check,No
2277-AXSDC,One year,19.75,Bank transfer (automatic),No
9442-JTWDL,One year,20.05,Credit card (automatic),No
3067-SVMTC,One year,55.9,Bank transfer (automatic),No
5495-GPSRW,Two year,19.7,Mailed check,No
7606-BPHHN,Two year,19.8,Credit card (automatic),No
4742-DRORA,One year,95.4,Bank transfer (automatic),No
0111-KLBQG,Month-to-month,93.95,Mailed check,No
4163-NCJAK,One year,24.45,Bank transfer (automatic),No
5233-AOZUF,Month-to-month,74.95,Electronic check,No
5973-EJGDP,Month-to-month,87.35,Electronic check,No
1996-DBMUS,Month-to-month,70.65,Bank transfer (automatic),No
7916-VCCPB,Month-to-month,73.25,Bank transfer (automatic),No
4686-GEFRM,Two year,98.7,Bank transfer (automatic),No
5249-QYHEX,Two year,24.8,Mailed check,No
2233-FAGXV,Month-to-month,24.3,Mailed check,No
5605-IYGFG,Month-to-month,69.85,Bank transfer (automatic),No
7663-ZTEGJ,One year,100.55,Credit card (automatic),No
3935-TBRZZ,One year,25.7,Mailed check,No
8111-BKVDS,Month-to-month,40.7,Bank transfer (automatic),No
2055-SIFSS,Month-to-month,51.65,Bank transfer (automatic),No
2806-MLNTI,One year,105.1,Bank transfer (automatic),No
8734-DKSTZ,Month-to-month,85.95,Electronic check,No
4360-PNRQB,Month-to-month,75.6,Bank transfer (automatic),No
6152-ONASV,One year,58.25,Bank transfer (automatic),No
7781-HVGMK,Two year,65.2,Credit card (automatic),No
2181-UAESM,Month-to-month,53.45,Electronic check,No
6048-NJXHX,Two year,19.75,Electronic check,No
2320-SLKMB,Month-to-month,44.45,Credit card (automatic),No
4980-URKXC,One year,20.85,Bank transfer (automatic),No
4376-KFVRS,Two year,114.05,Credit card (automatic),No
5886-VLQVU,Month-to-month,89.85,Bank transfer (automatic),No
3577-AMVUX,Month-to-month,55.05,Mailed check,No
0771-WLCLA,Month-to-month,112.95,Electronic check,No
5628-RKIFK,Month-to-month,101.55,Credit card (automatic),No
0206-TBWLC,One year,114.65,Mailed check,No
2937-FTHUR,Month-to-month,64.8,Electronic check,No
1910-FMXJM,Month-to-month,80.4,Electronic check,No
0732-OCQOC,Two year,25.05,Bank transfer (automatic),No
5168-MSWXT,Month-to-month,94.75,Electronic check,No
1090-ESELR,Two year,105.5,Bank transfer (automatic),No
8592-PLTMQ,One year,24.7,Mailed check,No
5760-WRAHC,Month-to-month,69.75,Mailed check,No
8847-GEOOQ,Month-to-month,60.2,Bank transfer (automatic),No
4785-FCIFB,Two year,24.4,Mailed check,No
8313-NDOIA,Month-to-month,104.15,Electronic check,No
5149-CUZUJ,One year,92.9,Bank transfer (automatic),No
0942-KOWSM,Two year,80.8,Bank transfer (automatic),No
4237-CLSMM,Month-to-month,20.0,Mailed check,No
1452-VOQCH,Month-to-month,75.1,Electronic check,No
4719-UMSIY,Month-to-month,19.65,Mailed check,No
6614-VBEGU,Month-to-month,69.45,Bank transfer (automatic),No
1480-BKXGA,Two year,116.05,Bank transfer (automatic),No
2996-XAUVF,Two year,40.05,Mailed check,No
9076-AXYIK,Two year,102.1,Electronic check,No
5968-XQIVE,One year,89.7,Electronic check,No
8896-RAZCR,Two year,19.9,Mailed check,No
4933-IKULF,One year,20.65,Mailed check,No
1304-BCCFO,Month-to-month,70.05,Mailed check,No
4104-PVRPS,Month-to-month,53.6,Mailed check,No
3780-DDGSE,Month-to-month,76.05,Electronic check,No
4431-EDMIQ,Month-to-month,75.7,Electronic check,No
0486-LGCCH,Two year,19.65,Mailed check,No
4612-SSVHJ,Month-to-month,81.45,Electronic check,No
5168-MQQCA,One year,108.5,Bank transfer (automatic),No
7971-HLVXI,Two year,84.5,Credit card (automatic),No
9094-AZPHK,Month-to-month,100.15,Electronic check,No
3649-JPUGY,Two year,88.6,Bank transfer (automatic),No
4472-LVYGI,Two year,52.55,Bank transfer (automatic),No
3552-CTCYF,Two year,104.8,Bank transfer (automatic),No
6778-YSNIH,Month-to-month,59.0,Electronic check,No
5756-OZRIO,One year,64.05,Bank transfer (automatic),No
6579-JPICP,Month-to-month,20.4,Mailed check,No
4134-BSXLX,Month-to-month,60.9,Mailed check,No
0505-SPOOW,Two year,19.8,Bank transfer (automatic),No
4374-YMUSQ,One year,116.25,Credit card (automatic),No
4513-CXYIX,Two year,80.7,Credit card (automatic),No
3957-HHLMR,One year,65.2,Bank transfer (automatic),No
7803-XOCCZ,Month-to-month,84.05,Bank transfer (automatic),No
5736-YEJAX,Two year,79.45,Credit card (automatic),No
8981-FJGLA,Month-to-month,78.0,Mailed check,No
1135-LMECX,Month-to-month,19.85,Mailed check,No
4332-MUOEZ,One year,94.3,Credit card (automatic),No
8535-SFUTN,Month-to-month,106.45,Electronic check,No
8677-HDZEE,Month-to-month,105.45,Bank transfer (automatic),No
2475-MROZF,Month-to-month,95.0,Credit card (automatic),No
3482-ABPKK,One year,54.3,Mailed check,No
6705-LXORM,Month-to-month,70.05,Electronic check,No
7531-GQHME,Month-to-month,20.05,Credit card (automatic),No
5174-ITUMV,One year,105.4,Electronic check,No
4109-CYRBD,Month-to-month,51.6,Electronic check,No
0913-XWSCN,Month-to-month,85.5,Bank transfer (automatic),No
0750-EBAIU,One year,91.25,Electronic check,No
8606-CIQUL,Two year,115.75,Credit card (automatic),No
3571-DPYUH,One year,94.7,Credit card (automatic),No
7601-GNDYK,Two year,19.6,Mailed check,No
0356-OBMAC,Two year,99.9,Bank transfer (automatic),No
8067-NIOYM,Two year,21.1,Credit card (automatic),No
1403-GYAFU,Two year,20.05,Credit card (automatic),No
4234-XTNEA,Month-to-month,79.95,Electronic check,No
1297-VQDRP,One year,107.15,Credit card (automatic),No
5348-CAGXB,Month-to-month,89.55,Electronic check,No
0621-HJWXJ,Month-to-month,81.55,Bank transfer (automatic),No
5844-QVTAT,One year,58.45,Mailed check,No
8905-IAZPF,One year,95.65,Credit card (automatic),No
5394-MEITZ,Two year,80.6,Bank transfer (automatic),No
6859-QNXIQ,Two year,113.1,Bank transfer (automatic),No
2782-LFZVW,Month-to-month,58.95,Mailed check,No
2866-IKBTM,Month-to-month,19.55,Mailed check,No
7129-AZJDE,One year,78.95,Bank transfer (automatic),No
2560-PPCHE,One year,105.05,Bank transfer (automatic),No
4676-MQUEA,One year,101.9,Bank transfer (automatic),No
8138-EALND,Month-to-month,19.75,Mailed check,No
3580-HYCSP,Two year,110.3,Bank transfer (automatic),No
1352-HNSAW,Two year,115.6,Bank transfer (automatic),No
2075-PUEPR,Two year,19.35,Bank transfer (automatic),No
1982-FEBTD,Two year,25.6,Credit card (automatic),No
5791-KAJFD,One year,68.75,Bank transfer (automatic),No
2654-VBVPB,Month-to-month,19.9,Bank transfer (automatic),No
1154-HYWWO,One year,70.6,Mailed check,No
2501-XWWTZ,Month-to-month,70.2,Electronic check,No
3716-UVSPD,Month-to-month,49.3,Electronic check,No
6815-ABQFQ,One year,107.25,Electronic check,No
7343-EOBEU,Month-to-month,23.6,Mailed check,No
3701-SFMUH,Month-to-month,69.7,Credit card (automatic),No
6103-LIANB,Two year,99.5,Credit card (automatic),No
7319-VENRZ,Month-to-month,64.3,Bank transfer (automatic),No
5846-NEQVZ,Two year,70.85,Credit card (automatic),No
6967-QIQRV,One year,101.9,Electronic check,No
5781-RFZRP,Two year,73.5,Credit card (automatic),No
0308-IVGOK,One year,40.4,Credit card (automatic),No
7293-LSCDV,Two year,19.25,Credit card (automatic),No
7025-WCBNE,Two year,59.6,Bank transfer (automatic),No
5756-JYOJT,One year,64.9,Credit card (automatic),No
6030-REHUX,Month-to-month,110.85,Electronic check,No
9548-LIGTA,Two year,81.05,Mailed check,No
5150-LJNSR,One year,98.05,Bank transfer (automatic),No
8270-RKSAP,Month-to-month,70.5,Electronic check,No
6522-YRBXD,Month-to-month,94.55,Electronic check,No
2640-LYMOV,Month-to-month,19.65,Mailed check,No
1423-BMPBQ,Month-to-month,19.0,Mailed check,No
2393-DIVAI,Month-to-month,20.0,Mailed check,No
4568-KNYWR,Two year,63.25,Credit card (automatic),No
8752-IMQOS,One year,20.1,Mailed check,No
0742-LAFQK,Two year,99.15,Electronic check,No
0795-LAFGP,Two year,90.4,Electronic check,No
0619-OLYUR,Two year,111.9,Credit card (automatic),No
5512-IDZEI,One year,24.9,Electronic check,No
0459-SPZHJ,Two year,83.5,Credit card (automatic),No
0215-BQKGS,Month-to-month,84.3,Credit card (automatic),No
9244-ZVAPM,Month-to-month,45.6,Mailed check,No
8208-EUMTE,Two year,54.85,Mailed check,No
5172-MIGPM,Month-to-month,65.55,Mailed check,No
1710-RCXUS,One year,90.35,Credit card (automatic),No
0374-FIUCA,Two year,20.4,Credit card (automatic),No
5839-SUYVZ,Month-to-month,74.55,Credit card (automatic),No
5173-ZXXXL,One year,19.95,Mailed check,No
1096-ADRUX,One year,74.25,Bank transfer (automatic),No
2001-MCUUW,Two year,108.65,Electronic check,No
2731-GJRDG,One year,109.55,Bank transfer (automatic),No
4723-BEGSG,Two year,86.65,Credit card (automatic),No
6516-NKQBO,Two year,81.0,Credit card (automatic),No
8672-OAUPW,One year,47.85,Credit card (automatic),No
8207-DMRVL,Two year,114.55,Bank transfer (automatic),No
2804-ETQDK,Two year,20.55,Mailed check,No
6689-VRRTK,One year,109.8,Credit card (automatic),No
7138-GIRSH,Two year,69.5,Bank transfer (automatic),No
9396-ZSFLL,Month-to-month,48.85,Mailed check,No
6464-KEXXH,Month-to-month,25.25,Credit card (automatic),No
7134-MJPDY,One year,102.85,Credit card (automatic),No
5240-CAOYT,Month-to-month,87.55,Bank transfer (automatic),No
4059-IIEBK,Month-to-month,78.55,Bank transfer (automatic),No
4881-JVQOD,Month-to-month,34.55,Bank transfer (automatic),No
0516-UXRMT,One year,92.05,Electronic check,No
4851-BQDNX,One year,85.05,Electronic check,No
5148-HKFIR,Two year,19.7,Mailed check,No
3003-CMDUU,Month-to-month,95.15,Electronic check,No
5016-IBERQ,Month-to-month,84.25,Electronic check,No
6797-UCJHZ,One year,104.6,Credit card (automatic),No
2469-DTSGX,Two year,111.65,Electronic check,No
9931-KGHOA,Month-to-month,55.0,Bank transfer (automatic),No
1775-KWJKQ,Two year,89.85,Credit card (automatic),No
7665-VIGUD,One year,20.35,Mailed check,No
9411-TPQQV,One year,54.55,Bank transfer (automatic),No
7954-MLBUN,Two year,99.45,Bank transfer (automatic),No
2077-DDHJK,Two year,70.9,Credit card (automatic),No
9574-BOSMD,Two year,25.4,Bank transfer (automatic),No
4908-XAXAY,One year,89.85,Bank transfer (automatic),No
8404-VLQFB,Month-to-month,25.25,Electronic check,No
2391-IPLOP,One year,69.65,Electronic check,No
3509-GWQGF,Month-to-month,70.0,Credit card (automatic),No
5845-BZZIB,Two year,20.1,Mailed check,No
1140-UKVZG,Month-to-month,24.8,Mailed check,No
5183-SNMJQ,Month-to-month,95.1,Credit card (automatic),No
8100-PNJMH,Two year,88.85,Credit card (automatic),No
7838-LAZFO,One year,78.8,Bank transfer (automatic),No
2085-JVGAD,Month-to-month,20.35,Bank transfer (automatic),No
8095-WANWK,Month-to-month,45.25,Mailed check,No
3030-ZKIWL,Month-to-month,20.05,Mailed check,No
9565-FLVCG,Two year,69.55,Mailed check,No
8755-OGKNA,Two year,19.5,Bank transfer (automatic),No
2800-VEQXM,Month-to-month,74.75,Mailed check,No
5533-RJFTJ,Month-to-month,30.2,Bank transfer (automatic),No
0214-JHPFW,Two year,57.8,Bank transfer (automatic),No
5642-MHDQT,One year,19.85,Bank transfer (automatic),No
3088-FVYWK,Two year,25.55,Credit card (automatic),No
9092-GDZKO,Month-to-month,24.85,Credit card (automatic),No
3729-OWRVL,Two year,110.35,Electronic check,No
2324-AALNO,One year,24.55,Bank transfer (automatic),No
5760-IFJOZ,Month-to-month,107.95,Mailed check,No
2826-UWHIS,Month-to-month,81.4,Bank transfer (automatic),No
7501-IWUNG,Two year,73.8,Bank transfer (automatic),No
4957-TREIR,Month-to-month,64.4,Credit card (automatic),No
7251-LJBQN,One year,103.75,Credit card (automatic),No
8040-MNRTF,Month-to-month,71.1,Mailed check,No
1536-HBSWP,Month-to-month,49.9,Electronic check,No
5313-FPXWG,One year,24.6,Bank transfer (automatic),No
0946-FKYTX,One year,30.1,Mailed check,No
5076-YVXCM,Month-to-month,83.4,Bank transfer (automatic),No
8262-COGGB,Month-to-month,20.45,Mailed check,No
6663-JOCQO,One year,75.25,Bank transfer (automatic),No
9620-QJREV,One year,20.55,Credit card (automatic),No
2682-KEVRP,One year,20.05,Mailed check,No
2480-JZOSN,Month-to-month,20.65,Mailed check,No
0078-XZMHT,Two year,85.15,Bank transfer (automatic),No
9978-HYCIN,One year,84.95,Bank transfer (automatic),No
8338-QIUNR,Two year,66.5,Credit card (automatic),No
1525-LNLOJ,Two year,63.3,Bank transfer (automatic),No
9450-TRJUU,Month-to-month,83.15,Electronic check,No
1766-GKNMI,Month-to-month,84.9,Electronic check,No
6942-LBFDP,Month-to-month,20.55,Mailed check,No
1456-TWCGB,Month-to-month,49.25,Mailed check,No
7596-ZYWBB,Two year,59.6,Mailed check,No
8329-UTMVM,One year,104.65,Bank transfer (automatic),No
3014-WJKSM,Month-to-month,75.3,Credit card (automatic),No
3347-YJZZE,Month-to-month,80.1,Credit card (automatic),No
7929-DMBCV,Month-to-month,81.0,Mailed check,No
9661-JALZV,Two year,24.7,Credit card (automatic),No
5433-KYGHE,Month-to-month,86.0,Mailed check,No
4312-KFRXN,Two year,25.4,Mailed check,No
5575-TPIZQ,Month-to-month,89.15,Credit card (automatic),No
0114-IGABW,Two year,58.25,Bank transfer (automatic),No
9944-AEXBM,Month-to-month,85.65,Bank transfer (automatic),No
1853-ARAAQ,Month-to-month,50.35,Credit card (automatic),No
6952-OMNWB,Month-to-month,80.35,Credit card (automatic),No
4697-LUPSU,One year,20.2,Mailed check,No
8434-VGEQQ,Two year,20.55,Credit card (automatic),No
6549-YMFAW,Month-to-month,21.25,Mailed check,No
4950-HKQTE,Two year,26.25,Mailed check,No
6786-OBWQR,Month-to-month,80.85,Electronic check,No
2753-JMMCV,Two year,74.2,Credit card (automatic),No
6621-YOBKI,Month-to-month,20.35,Mailed check,No
1216-JWVUX,Month-to-month,75.5,Electronic check,No
7564-GHCVB,Two year,79.05,Bank transfer (automatic),No
1173-NOEYG,Month-to-month,90.15,Bank transfer (automatic),No
7595-EHCDL,Month-to-month,50.6,Credit card (automatic),No
6647-ZEDXT,One year,110.45,Credit card (automatic),No
2521-NPUZR,Two year,101.0,Credit card (automatic),No
1307-TVUFB,Month-to-month,79.35,Bank transfer (automatic),No
7503-MIOGA,Two year,89.85,Bank transfer (automatic),No
4381-MHQDC,Two year,65.0,Mailed check,No
6923-JHPMP,Month-to-month,80.45,Electronic check,No
4018-PPNDW,Two year,24.1,Mailed check,No
1635-FJFCC,Month-to-month,44.05,Credit card (automatic),No
2499-AJYUA,Two year,110.8,Credit card (automatic),No
6919-ELBGL,Two year,114.95,Bank transfer (automatic),No
3966-HRMZA,Month-to-month,75.05,Mailed check,No
6425-JWTDV,Two year,19.25,Mailed check,No
8405-IGQFX,One year,90.05,Credit card (automatic),No
8224-IVVPA,Month-to-month,56.7,Mailed check,No
9477-LGWQI,Two year,80.15,Credit card (automatic),No
1410-RSCMR,Month-to-month,71.35,Credit card (automatic),No
3115-CZMZD,Two year,20.25,Mailed check,No
0139-IVFJG,Month-to-month,90.35,Electronic check,No
5730-DBDSI,Two year,19.7,Bank transfer (automatic),No
0030-FNXPP,Month-to-month,19.85,Mailed check,No
5684-FJVYR,Two year,90.35,Bank transfer (automatic),No
4013-GUXND,Month-to-month,20.8,Mailed check,No
1266-NZYUI,Two year,66.85,Bank transfer (automatic),No
7969-FFOWG,Two year,19.9,Mailed check,No
4718-DHSMV,Month-to-month,35.8,Mailed check,No
5175-WLYXL,Month-to-month,78.85,Mailed check,No
7817-OMJNA,One year,20.4,Bank transfer (automatic),No
8728-SKJLR,Month-to-month,74.25,Electronic check,No
3137-NYQQI,One year,64.8,Mailed check,No
7706-DZNKK,Month-to-month,20.45,Credit card (automatic),No
8823-RLPWL,Two year,110.65,Credit card (automatic),No
9505-SQFSW,Month-to-month,40.3,Mailed check,No
3758-CKOQL,One year,107.0,Credit card (automatic),No
5676-CFLYY,Two year,73.35,Credit card (automatic),No
7521-AFHAB,Month-to-month,44.8,Mailed check,No
0285-INHLN,Month-to-month,54.75,Credit card (automatic),No
5125-CNDSP,One year,40.6,Bank transfer (automatic),No
4992-LTJNE,Two year,55.3,Bank transfer (automatic),No
2202-OUTMO,Month-to-month,60.85,Bank transfer (automatic),No
0810-BDHAW,One year,78.4,Electronic check,No
0229-LFJAF,Two year,69.65,Bank transfer (automatic),No
7131-ZQZNK,Two year,59.85,Credit card (automatic),No
3442-ZHHCC,One year,76.9,Credit card (automatic),No
5726-CVNYA,Two year,19.85,Mailed check,No
9871-ELEYA,Two year,67.65,Credit card (automatic),No
